@RELATION CriterioProvas  
@ATTRIBUTE P1 integer
@ATTRIBUTE P2 integer
@ATTRIBUTE PercFalta integer
@ATTRIBUTE resultado {Bom,Ruim}
@DATA 
9,7,3,Bom
8,2,23,Ruim
4,6,32,Ruim
0,9,35,Ruim
6,6,42,Ruim
10,0,45,Ruim
9,4,24,Bom
2,4,30,Ruim
2,9,5,Bom
0,7,45,Ruim
6,5,48,Ruim
5,3,42,Ruim
8,8,24,Bom
1,7,6,Ruim
0,7,24,Ruim
10,0,47,Ruim
0,5,48,Ruim
5,5,18,Bom
9,6,16,Bom
3,7,18,Bom
2,10,23,Bom
6,5,4,Bom
9,8,35,Ruim
10,1,28,Ruim
8,3,43,Ruim
6,10,38,Ruim
7,0,8,Ruim
2,9,15,Bom
1,3,36,Ruim
5,3,10,Ruim
7,5,44,Ruim
10,0,2,Ruim
6,2,12,Ruim
4,1,14,Ruim
7,7,17,Bom
7,4,20,Bom
7,9,17,Bom
6,4,6,Ruim
5,2,23,Ruim
9,1,32,Ruim
5,2,49,Ruim
9,9,31,Ruim
8,9,18,Bom
0,10,22,Bom
4,4,38,Ruim
9,6,34,Ruim
8,1,22,Ruim
7,4,26,Ruim
6,1,40,Ruim
4,2,7,Ruim
1,6,22,Ruim
6,6,7,Bom
3,2,28,Ruim
7,10,46,Ruim
9,9,11,Bom
8,6,36,Ruim
1,8,31,Ruim
6,0,45,Ruim
9,10,21,Bom
4,0,29,Ruim
1,10,17,Bom
5,6,22,Bom
7,4,46,Ruim
10,9,22,Bom
6,3,42,Ruim
5,9,20,Bom
2,7,38,Ruim
6,5,22,Bom
6,9,31,Ruim
8,4,23,Bom
4,8,20,Bom
4,0,37,Ruim
2,5,31,Ruim
6,1,38,Ruim
8,6,43,Ruim
5,7,5,Bom
7,8,40,Ruim
3,5,41,Ruim
7,5,46,Ruim
10,8,37,Ruim
2,2,5,Ruim
5,0,34,Ruim
0,10,47,Ruim
2,4,3,Ruim
7,9,20,Bom
6,0,44,Ruim
2,7,40,Ruim
10,1,24,Ruim
1,6,2,Ruim
3,1,18,Ruim
4,5,27,Ruim
10,8,45,Ruim
3,9,15,Bom
3,2,35,Ruim
4,3,24,Ruim
4,4,29,Ruim
10,4,17,Bom
10,1,18,Ruim
9,4,9,Bom
8,6,5,Bom
1,0,10,Ruim
1,1,30,Ruim
8,8,40,Ruim
5,9,31,Ruim
2,5,3,Ruim
10,0,5,Ruim
10,6,3,Bom
8,10,1,Bom
10,6,22,Bom
10,10,3,Bom
5,7,12,Bom
3,1,10,Ruim
10,2,25,Ruim
8,4,37,Ruim
7,5,31,Ruim
7,0,37,Ruim
8,2,32,Ruim
10,4,26,Ruim
6,6,36,Ruim
8,0,2,Ruim
4,0,7,Ruim
9,8,30,Ruim
4,2,7,Ruim
8,9,43,Ruim
2,3,5,Ruim
8,2,22,Ruim
3,8,41,Ruim
10,2,31,Ruim
2,5,11,Ruim
7,0,14,Ruim
7,5,39,Ruim
4,4,11,Ruim
6,1,36,Ruim
4,2,11,Ruim
8,9,28,Ruim
1,6,15,Ruim
3,8,31,Ruim
6,0,6,Ruim
10,10,7,Bom
7,8,0,Bom
8,1,26,Ruim
1,5,33,Ruim
0,0,19,Ruim
8,8,0,Bom
1,8,36,Ruim
2,3,14,Ruim
6,5,1,Bom
8,1,34,Ruim
3,0,48,Ruim
3,6,11,Ruim
2,3,9,Ruim
6,7,4,Bom
4,1,13,Ruim
6,3,26,Ruim
0,8,33,Ruim
3,2,36,Ruim
4,2,28,Ruim
3,4,17,Ruim
9,10,41,Ruim
1,7,6,Ruim
7,3,6,Ruim
10,9,3,Bom
6,6,8,Bom
10,8,28,Ruim
9,4,34,Ruim
10,7,8,Bom
7,7,47,Ruim
3,5,29,Ruim
6,1,18,Ruim
0,7,24,Ruim
2,10,50,Ruim
9,1,44,Ruim
10,5,35,Ruim
4,2,27,Ruim
6,6,19,Bom
5,2,32,Ruim
9,10,18,Bom
3,1,5,Ruim
7,4,12,Bom
3,4,12,Ruim
9,6,5,Bom
8,0,48,Ruim
3,2,5,Ruim
3,10,37,Ruim
6,6,46,Ruim
0,9,9,Bom
4,4,42,Ruim
9,0,24,Ruim
1,2,35,Ruim
6,4,19,Ruim
2,9,9,Bom
4,4,9,Ruim
1,1,19,Ruim
0,8,5,Ruim
5,0,10,Ruim
0,8,46,Ruim
6,0,6,Ruim
7,8,48,Ruim
10,2,15,Bom
0,1,33,Ruim
7,5,28,Ruim
8,9,33,Ruim
0,2,32,Ruim
5,6,6,Bom
8,9,42,Ruim
2,4,41,Ruim
1,1,40,Ruim
0,2,18,Ruim
3,7,8,Bom
6,5,4,Bom
7,4,26,Ruim
10,0,14,Ruim
2,3,11,Ruim
9,0,15,Ruim
0,0,22,Ruim
10,1,45,Ruim
